customer_id,age,region,account_type,tenure_months,monthly_income,avg_monthly_balance,credit_score,num_products,has_credit_card,has_crypto_wallet,uses_mobile_app,customer_service_calls,missed_payments_6m,support_rating,contract_type,monthly_fees,digital_engagement_score,loan_amount,loan_term_months,debt_to_income_ratio,interest_rate,loan_repaid
PBG-200312,36,London,Premium,24,2281,1702,637,3,Yes,No,No,3,0,5,Annual,16.99,49,7500,36,0.36,13.57,0
PBG-200958,47,South East,Premium,13,4747,3045,655,1,Yes,No,No,2,0,,Monthly,16.99,74,5000,12,0.14,6.73,1
PBG-200402,44,West Midlands,Premium,41,5605,5230,583,2,Yes,No,Yes,0,0,2,No fixed term,16.99,100,3000,48,0.32,12.42,1
PBG-200626,49,West Midlands,Premium,23,5576,7223,850,3,Yes,Yes,Yes,2,1,4,Monthly,16.99,86,15000,48,0.03,3.9,1
PBG-200272,32,North East,Everyday,63,4737,4982,691,1,No,Yes,Yes,1,3,4,No fixed term,0,77,10000,12,0.45,7.87,0
PBG-200935,34,Scotland,Everyday,49,3162,2926,724,1,Yes,No,Yes,2,0,4,Annual,0,100,25000,24,0.17,6.94,1
PBG-200314,28,North West,Premium,76,3003,2435,754,3,Yes,No,No,2,1,4,No fixed term,16.99,51,3000,24,0.17,5.57,1
PBG-200653,54,South East,Premium,18,3248,2305,770,1,Yes,No,Yes,1,0,3,Annual,16.99,100,10000,24,0.08,4.23,1
PBG-200093,47,Scotland,Plus,54,2257,282,621,2,No,Yes,Yes,0,2,3,No fixed term,7,,10000,24,0.37,11.8,0
PBG-200354,22,North West,Everyday,18,3270,1209,705,3,Yes,Yes,Yes,3,4,5,Monthly,0,65,3000,36,0.43,8.29,0
PBG-201016,40,South West,Everyday,38,3673,2149,514,2,Yes,No,Yes,1,3,3,Monthly,0,77,2000,12,0.48,17.3,1
PBG-200694,21,North East,Everyday,25,4415,3332,719,4,Yes,Yes,Yes,1,1,5,No fixed term,0,80,3000,48,0.26,9.71,1
PBG-200362,55,South East,Everyday,70,3137,3085,738,2,Yes,No,Yes,1,0,3,Monthly,0,53,15000,24,0.19,4.76,1
PBG-201100,55,Wales,Everyday,26,1458,1392,685,2,Yes,Yes,Yes,3,1,2,Annual,0,100,3000,36,0.27,7.97,0
PBG-200930,29,North West,Premium,19,900,773,724,1,Yes,No,No,2,1,3,No fixed term,16.99,96,2000,36,0.21,,1
PBG-201176,54,South East,Plus,11,3016,1299,747,4,Yes,No,Yes,3,0,5,No fixed term,7,80,1000,36,0.19,6.47,1
PBG-200878,29,East Midlands,Premium,15,4923,3569,708,3,Yes,Yes,Yes,1,0,4,No fixed term,16.99,100,5000,24,0.12,5.87,1
PBG-200526,55,North East,Plus,31,7069,,699,3,Yes,No,Yes,2,1,,No fixed term,7,76,25000,36,0.18,7.28,1
PBG-200114,43,South West,Premium,33,2768,1450,,2,No,No,Yes,0,0,3,Monthly,16.99,94,25000,36,0.25,9.73,0
PBG-200936,41,Yorkshire and the Humber,Everyday,8,4044,1620,713,2,Yes,Yes,Yes,5,0,1,Monthly,0,100,7500,36,0.42,7.19,1
PBG-201125,24,South East,Premium,144,4269,1020,700,3,Yes,No,Yes,1,1,4,No fixed term,16.99,100,1000,24,0.38,7.88,1
PBG-200744,59,North West,Everyday,35,1100,0,664,1,No,No,Yes,0,0,4,Monthly,0,100,20000,24,0.12,8.19,0
PBG-200759,18,Scotland,Plus,14,2822,2224,674,2,No,No,Yes,3,0,3,Monthly,7,82,5000,36,0.19,7.43,1
PBG-200020,49,London,Premium,21,5874,4542,733,2,Yes,No,Yes,1,0,3,Annual,16.99,100,5000,60,0.25,4.36,1
PBG-201050,19,East Midlands,Premium,76,3995,2615,613,1,Yes,No,Yes,1,2,3,Monthly,16.99,74,2000,48,0.44,10.99,0
PBG-201135,48,South East,Premium,120,6876,8422,573,1,No,No,Yes,2,1,4,Annual,16.99,32,10000,24,0.05,11.15,1
PBG-200769,30,Scotland,Premium,19,2834,2563,675,2,Yes,No,No,1,0,5,Annual,16.99,92,10000,48,0.29,8.5,1
PBG-200763,45,London,Everyday,46,2809,3814,708,3,No,No,Yes,1,0,3,No fixed term,0,72,15000,48,0.13,4.39,1
PBG-201070,,Scotland,Premium,101,1189,680,653,2,Yes,No,Yes,1,0,1,No fixed term,16.99,93,20000,24,0.17,7.85,0
PBG-200497,28,West Midlands,Everyday,106,2860,1877,511,2,No,Yes,No,1,0,3,No fixed term,0,63,7500,12,0.18,14.09,1
PBG-200695,42,North East,Everyday,39,3658,72,721,2,Yes,No,No,0,0,4,Annual,0,96,2000,36,0.28,7.86,0
PBG-201097,28,South West,Plus,64,4370,4286,659,4,Yes,Yes,Yes,2,1,5,Annual,7,80,5000,36,0.49,11.8,0
PBG-200160,46,West Midlands,Everyday,15,3670,2080,644,4,Yes,No,Yes,0,0,,Annual,0,72,10000,12,0.21,9.53,0
PBG-200672,33,South East,Everyday,23,3157,3026,842,2,Yes,Yes,Yes,0,0,3,No fixed term,0,,15000,12,0.05,3.9,1
PBG-200086,42,West Midlands,,69,5242,3261,664,4,Yes,No,Yes,5,0,4,Annual,0,85,10000,36,0.17,9.15,0
PBG-200831,40,East Midlands,Business,57,3035,1496,671,1,No,No,Yes,0,3,4,Annual,12,68,2000,24,0.28,9.1,1
PBG-200085,22,West Midlands,Plus,26,2117,279,654,1,Yes,No,Yes,1,0,4,Monthly,7,,7500,60,0.23,8.85,1
PBG-200782,18,West Midlands,Plus,50,2970,,762,1,Yes,Yes,Yes,3,0,1,Monthly,7,49,3000,36,0.31,7.24,1
PBG-200292,53,Yorkshire and the Humber,Plus,35,2272,864,634,2,Yes,No,Yes,3,0,4,No fixed term,7,77,1000,36,0.03,9.65,1
PBG-200506,25,South East,Everyday,17,5554,5716,641,2,No,No,Yes,0,0,,Monthly,0,59,1000,36,0.19,9,1
PBG-201058,32,South West,Everyday,28,4073,3710,526,3,No,No,Yes,0,0,2,No fixed term,0,81,7500,36,0.17,14.37,1
PBG-201136,39,North West,Plus,34,1608,420,589,1,Yes,No,No,3,0,5,Monthly,7,62,5000,12,0.14,10.29,0
PBG-200207,49,South West,Premium,74,3998,4004,,4,Yes,Yes,Yes,1,1,1,Monthly,16.99,100,1000,48,0.24,4.77,1
PBG-200239,32,East Midlands,Everyday,51,1537,2074,487,5,No,No,Yes,6,2,4,No fixed term,0,72,2000,24,0.32,16.22,0
PBG-200556,35,Scotland,Everyday,37,4600,5114,656,2,Yes,Yes,Yes,1,0,5,Monthly,0,81,2000,24,0.08,,1
PBG-200510,50,North East,,67,1774,541,753,1,Yes,Yes,Yes,0,0,3,No fixed term,16.99,55,1000,36,0.32,6.04,1
PBG-201090,36,North East,Everyday,45,1963,964,534,2,No,No,No,2,1,1,Monthly,0,35,10000,36,0.25,15.97,0
PBG-200009,32,West Midlands,Everyday,40,4399,3641,645,4,Yes,Yes,Yes,1,0,3,Monthly,0,98,5000,12,0.38,9.88,0
PBG-200456,24,East Midlands,Everyday,39,1510,1768,691,1,Yes,No,Yes,2,2,1,Annual,0,89,2000,12,0.22,7.79,1
PBG-200027,42,North East,Everyday,75,4700,1641,668,4,No,No,Yes,2,0,3,Monthly,0,,7500,36,0.3,9.32,1
PBG-201187,32,East Midlands,Plus,36,4112,2879,761,2,Yes,No,Yes,1,0,4,Monthly,7,91,7500,36,0.28,6.79,1
PBG-201052,34,South East,Everyday,17,2632,2583,652,3,No,No,Yes,2,1,4,Monthly,0,88,2000,24,0.26,9.09,1
PBG-200991,38,Scotland,Plus,23,1712,859,804,1,No,No,No,3,0,3,No fixed term,7,91,2000,60,0.21,5.12,1
PBG-200561,18,Scotland,Plus,46,2926,4156,600,3,Yes,No,No,1,0,4,Annual,7,40,15000,24,0.14,12.34,0
PBG-200631,36,London,Plus,20,3613,1709,641,1,Yes,No,Yes,2,0,5,Monthly,7,100,5000,24,0.1,8.43,1
PBG-200691,61,West Midlands,Everyday,54,2273,1504,803,2,No,No,Yes,5,2,5,Monthly,0,78,7500,12,0.23,5.53,1
PBG-200947,23,Wales,Everyday,26,2296,1781,695,3,Yes,No,Yes,2,1,5,No fixed term,0,52,20000,36,0.26,6.47,0
PBG-200134,41,Yorkshire and the Humber,Everyday,100,919,,643,3,Yes,No,Yes,2,0,5,Monthly,0,64,3000,24,0.54,11.81,0
PBG-200794,47,Northern Ireland,Premium,45,2504,1063,564,1,No,No,Yes,2,2,5,Monthly,16.99,100,5000,24,0.38,9.93,1
PBG-200297,43,South West,Premium,37,4505,1734,613,1,Yes,No,No,5,0,4,No fixed term,16.99,21,7500,36,0.05,,1
PBG-200113,42,North East,Premium,9,4844,2940,590,2,No,No,Yes,0,2,4,Monthly,16.99,62,2000,12,0.42,13.15,0
PBG-200855,39,North East,Business,21,3044,2648,655,1,Yes,Yes,Yes,1,0,4,Annual,12,100,10000,12,0.16,8.74,0
PBG-200683,25,West Midlands,Everyday,37,3244,3937,658,3,Yes,No,Yes,2,1,4,Monthly,0,76,3000,60,0.45,10.1,0
PBG-200163,46,Northern Ireland,Premium,52,4399,5199,668,1,No,No,Yes,1,0,3,Monthly,16.99,87,1000,60,0.19,6.83,1
PBG-200469,65,South West,Premium,20,3318,1067,819,1,Yes,Yes,,2,0,5,Annual,16.99,81,7500,24,0.41,5.19,1
PBG-200721,44,South West,Plus,57,3186,954,636,4,,No,Yes,3,1,5,Monthly,7,100,7500,36,0.28,9.44,1
PBG-200363,47,North West,Everyday,23,1397,977,782,5,Yes,No,No,2,1,4,Annual,0,47,5000,24,0.1,4.77,1
PBG-201080,19,Northern Ireland,Everyday,29,2754,2438,591,1,No,No,Yes,2,0,5,Monthly,0,99,3000,36,0.26,12.29,1
PBG-200531,39,Yorkshire and the Humber,Plus,24,5606,5062,624,3,Yes,No,Yes,3,1,5,Annual,7,75,2000,48,0.22,11.65,1
PBG-200057,51,Wales,Premium,48,4878,4658,693,4,Yes,Yes,Yes,4,0,3,Monthly,16.99,95,2000,12,0.19,7.77,1
PBG-201005,51,Yorkshire and the Humber,Plus,16,7901,10706,574,3,No,No,Yes,2,0,5,Annual,7,100,3000,24,0.3,14.61,1
PBG-200116,40,London,Everyday,43,2615,2536,754,4,Yes,Yes,Yes,3,1,3,Monthly,0,78,2000,12,0.09,5.96,1
